"tweet_id","country","org_name","day","user_id","user_name","text","text_en","lobbying","lobbying_type","non_lobbying_type"
"981517038006013954","us","Erickson Living","2018-04-04 13:01:12","487857720","ericksonliving","Our biggest fans this week: @DaniB_Erickson, @ddunne_Erickson. Thank you! via https://t.co/9Z0bxntfnf https://t.co/KjFEVFrD4N","Our biggest fans this week: @DaniB_Erickson, @ddunne_Erickson. Thank you! via https://t.co/9Z0bxntfnf https://t.co/KjFEVFrD4N","0",NA,"community"
"918072966025482240","den","IT-Branchen","2017-10-11 11:17:06","1585749301","ITBranchen","Du kan ndre lovgivningen https://t.co/g51ydympkm https://t.co/sXCLLSsvVs","Du kan ndre lovgivningen https://t.co/g51ydympkm https://t.co/sXCLLSsvVs","1","indirect",NA
"1003687210472935425","us","McGuireWoods Consulting LLC","2018-06-04 17:17:33","488644188","mwconsulting","The Senate sets its priorities for the rest of the year, Sen. Cassidy releases white paper on health reform, FDA hosts innovation challenge on #opioids and more in this week[a]s Washington Healthcare Update: https://t.co/rUoKw8LDfN https://t.co/8E5iRvB9XD","The Senate sets its priorities for the rest of the year, Sen. Cassidy releases white paper on health reform, FDA hosts innovation challenge on #opioids and more in this week[a]s Washington Healthcare Update: https://t.co/rUoKw8LDfN https://t.co/8E5iRvB9XD","1","direct",NA
"1504884086728531977","us","FED CAREPAC, The Blue Cross and Blue Shield of Massachusetts PAC","2022-03-18 18:15:00","22942717","LandmarkCenter","Mi Peru Minnesota is our partner for Urban Expedition Peru on Sunday, March 20, 1-3 pm. The mission of the group is to promote Peruvian culture through folkloric dances, which will be highlighted during the event! #LCcelebrates https://t.co/pOg09WkmDh","Mi Peru Minnesota is our partner for Urban Expedition Peru on Sunday, March 20, 1-3 pm. The mission of the group is to promote Peruvian culture through folkloric dances, which will be highlighted during the event! #LCcelebrates https://t.co/pOg09WkmDh","0",NA,"organizational"
"1531576017273380866","den","Tænketanken EUROPA","2022-05-31 09:59:12","2365109530","thinkeuropa","Hvis man inkluderer [a]Ved ikke[a], s frer [a]Ja[a] fortsat. [a]Ved ikke[a]-andelen er faldet samtidigt med, at [a]Ja[a] er get op. [a]Nej[a] har endnu ikke oplevet klar fremgang. Det kunne f betydning for, hvordan de resterende [a]Ved ikke[a]-vlgere fordeler sig i morgen. (2/2) #eudk #dkpol https://t.co/L6z5DdEsJL","And if you do not know, then you will be able to do it. And it is not that the shares of the shares of the shares of the shares of the shares of the shares of the shares of the shares of the shares of the shares of the shares of the shares. He has not yet seen a clear progress. It could be a matter of how the remaining [a]Wouldn’t [a]will be distributed tomorrow. (2/2) #eudk #dkpol https://t.co/L6z5DdEsJL","1","other",NA
"1480222860354457602","den","Røde Kors","2022-01-09 17:00:05","85289376","ICRC","In 2017, Ghanem was at his home in #Mosul when a rocket hit his house. 

He lost a leg, and his childhood for two years until his mom discovered our prosthetic services.

Now look at him https://t.co/HcZbkyeu6X","In 2017, Ghanem was at his home in #Mosul when a rocket hit his house. 

He lost a leg, and his childhood for two years until his mom discovered our prosthetic services.

Now look at him https://t.co/HcZbkyeu6X","0",NA,"marketing"
"522388189382991872","ire","GLEN - Gay and Lesbian Equality Network","2014-10-15 14:07:04","86910712","glenLGBT","Hot off the press! We[a]re gearing up for the #RegisterToVote campaign. Check out #YesEquality. http://t.co/VOjRmz5n8R http://t.co/QkFEl1R4xX","Hot off the press! We[a]re gearing up for the #RegisterToVote campaign. Check out #YesEquality. http://t.co/VOjRmz5n8R http://t.co/QkFEl1R4xX","1","indirect",NA
"426036563500228608","us","Kiewit Corporation","2014-01-22 17:00:06","388325606","kiewit","Kiewit is excited to head to Nicaragua in 2 weeks to build a footbridge across the rural El Limn River w/ @B2P . http://t.co/XFfypRLY6f","Kiewit is excited to head to Nicaragua in 2 weeks to build a footbridge across the rural El Limn River w/ @B2P . http://t.co/XFfypRLY6f","0",NA,"organizational"
"1509742376281157642","den","Egmont Fonden","2022-04-01 04:00:06","752445489707089920","EgmontFonden","God nyhed! Vi ger vores uddelinger frem mod 2025  

Vi glder os over, at der i den nye strategiperiode er mulighed for at vre endnu mere ambitise p brnene og de unges vegne! 

 Hent vores strategi her: https://t.co/jRh8eQQyOS  #dksocial #dkcivil #dkfonde https://t.co/RYFOLuncdt","Good news! We will deliver our distribution up to 2025  

We are delighted that in the new strategic period there is the opportunity to wre even more ambitious on the bruns and the youth's behalf! 

 Get our strategy here: https://t.co/jRh8eQQyOS #dksocial #dkcivil #dkfonde https://t.co/RYFOLuncdt","0",NA,"organizational"
"1268234503899791361","ire","Smashing Times Theatre and Film Company","2020-06-03 17:34:03","342653473","Smashing_Times","Here here.
[a]Government must take action to prevent total wipeout of arts and culture[a]
https://t.co/PKRKIR3ee7
#SaveTheArts 
@Campaign4Arts https://t.co/cTo0hQCVVP","Here here.
[a]Government must take action to prevent total wipeout of arts and culture[a]
https://t.co/PKRKIR3ee7
#SaveTheArts 
@Campaign4Arts https://t.co/cTo0hQCVVP","1","other",NA
